pubmed_id,has_misdiagnosis,true_wrong_diagnosis,rationale,review_status
42371446,0,,Caffeine withdrawal vs migraine in SLE patient; not an SLE-confusion case,AI-proposed
42367351,1,tuberculosis,SLE pleural effusion attributed to TB in endemic region,AI-proposed
42315243,0,,Generic mimic boilerplate; SLE not the confused diagnosis,AI-proposed
42287064,1,hypothyroidism,B-cell lymphoma mimicking SLE; initially treated for hypothyroidism,AI-proposed
42261517,1,lupus pneumonitis,EBV+ DLBCL masquerading as lupus pneumonitis,AI-proposed
42251934,1,systemic lupus erythematosus flare,Visceral leishmaniasis masquerading as autoimmune flare,AI-proposed
42182598,1,infection,HLH first presentation of SLE frequently misdiagnosed as infection,AI-proposed
42160240,1,pyrexia of unknown origin,jSLE initially diagnosed as pyrexia of unknown origin,AI-proposed
42117644,0,,Lemierre's vs thoracic outlet syndrome; non-SLE confusion,AI-proposed
42112145,0,,IgG4 disease; pancreatic cancer was a radiologic suspicion only,AI-proposed
42112140,1,lupus nephritis,ROSAH syndrome masquerading as lupus nephritis,AI-proposed
42088489,1,surgical obstruction,SLE intestinal pseudo-obstruction frequently misdiagnosed as surgical obstruction,AI-proposed
42046588,1,meningitis,Intracranial hypertension mimicking meningitis with empirical treatment,AI-proposed
42006577,1,Kikuchi-Fujimoto disease,KFD with digestive symptoms progressing to SLE; misdiagnosis-prone,AI-proposed
42005145,0,,KFD generic resemblance; no SLE confusion in this patient,AI-proposed
41994815,1,pustular psoriasis,Facial rash initially diagnosed as pustular psoriasis then revised,AI-proposed
41978600,1,malignancy,Tjalma syndrome with CA-125 mimicking malignancy,AI-proposed
41939593,1,erythema nodosum,Lupus tumidus initially diagnosed as erythema nodosum,AI-proposed
41939103,0,,Primary Sjogren's pleuritis; generic pneumonia/COPD mimic,AI-proposed
41868211,1,aspergillosis,Lung SCC mimicking recurrent aspergillosis,AI-proposed
41847937,1,lupus flare,CMV infection mimicking SLE manifestation/flare,AI-proposed
41823091,0,,Spontaneous intracranial hypotension; CTD only a risk factor,AI-proposed
41814534,0,,SLE with IgA nephropathy; coexistence/overlap,AI-proposed
41795692,0,,PNGD without underlying systemic disease,AI-proposed
41783879,1,spinal glioblastoma,SLE myelitis mimicking spinal glioblastoma,AI-proposed
41742048,0,,Bartonella endocarditis; SLE not the confused diagnosis,AI-proposed
41731438,1,Japanese spotted fever,SLE mimicking Japanese spotted fever (Rickettsia),AI-proposed
41695827,1,rosacea,Malar rash overlapping rosacea; oral ulcers initially linked to prosthesis,AI-proposed
41694957,1,malignant lymphoma,NPSLE brainstem encephalitis mimicking malignant lymphoma,AI-proposed
41675871,1,tuberculosis,Familial SLE mimicking TB; pleural effusions misattributed,AI-proposed
41674158,1,lupus enteritis,Intestinal EBV-LPD mimicking lupus enteritis,AI-proposed
41624895,1,lymphoma,Pediatric KFD progressing to SLE mimicking lymphoma/TB lymphadenitis,AI-proposed
41589163,1,subacute appendicitis,Severe SLE mimicking HLH; initially diagnosed subacute appendicitis,AI-proposed
41586411,0,,Cervical SCC in SLE transplant patient; no misdiagnosis,AI-proposed
41578476,1,rheumatoid factor-positive polyarticular JIA,Juvenile rhupus initially diagnosed as RF+ polyarticular JIA,AI-proposed
41552135,1,systemic lupus erythematosus flare,Cardiac myxoma mimicking SLE flare with diagnostic delay,AI-proposed
41524168,1,systemic lupus erythematosus,Salmonellosis glomerulonephritis mimicking SLE,AI-proposed
41485065,1,lupus flare,Purulent pericardial effusion vs autoimmune flare misattribution,AI-proposed
41480887,0,,Adrenal failure in APS; not SLE confusion,AI-proposed
41439060,1,pyrexia of unknown origin,Hepatic haemangioma mimicking abscess; initially treated as PUO,AI-proposed
41426556,1,systemic lupus erythematosus,Visceral leishmaniasis overlapping/mimicking SLE,AI-proposed
41409906,0,,KFD differential; no SLE confusion,AI-proposed
41399085,1,neuropsychiatric systemic lupus erythematosus,CNS infection mimicking NPSLE,AI-proposed
41386950,0,,HCQ cardiomyopathy vs other cardiomyopathies; drug-toxicity mimic,AI-proposed
41356082,1,rheumatoid arthritis,MCTD+TB initially diagnosed as rheumatoid arthritis,AI-proposed
41235255,1,urticaria,Lupus mesenteric vasculitis disguised as urticaria,AI-proposed
41210444,1,MADSAM,Delayed diagnosis differentiating MADSAM from SLE neuropathy,AI-proposed
41204247,0,,Juvenile SLE complicated by PRES; complication not misdiagnosis,AI-proposed
41116005,1,depression,SLE vascular dementia apathy misdiagnosed as depression,AI-proposed
41096150,1,primary immunodeficiency,Case series of SLE mimickers (immunodeficiencies/interferonopathies),AI-proposed
41051236,0,,LAHPS in child; no named confused diagnosis,AI-proposed
41035545,1,neuromyelitis optica spectrum disorder,SLE initially diagnosed as AQP4+ NMOSD,AI-proposed
